#time(s);pressure(cmH2O);flow(ml.s-1);openning_insiration_valve(%);openning_expiration_valve(%);blower_speed(%)
0;0;0;0;0;0
0.01;0;0;0;0;0
0.02;0;0;0;0;16
0.03;0;16;100;96;17
0.04;53;1647;100;92;17
0.05;55;1644;100;88;18
0.06;60;1740;100;84;18
0.07;61;1739;100;80;19
0.08;66;1834;100;76;19
0.09;67;1832;100;72;20
0.1;71;1928;100;68;21
0.11;75;2024;100;64;21
0.12;76;2024;100;60;22
0.13;80;2120;100;56;22
0.14;81;2119;100;52;23
0.15;86;2214;100;48;23
0.16;87;2213;100;44;24
0.17;91;2309;100;40;24
0.18;92;2308;100;36;25
0.19;96;2404;100;32;25
0.2;97;2403;100;28;26
0.21;102;2497;100;24;27
0.22;106;2593;100;20;27
0.23;107;2593;100;16;28
0.24;112;2688;100;12;28
0.25;113;2687;100;8;29
0.26;117;2783;100;4;29
0.27;119;2781;100;0;30
0.28;123;2877;100;0;30
0.29;124;2876;100;0;31
0.3;129;2971;100;0;32
0.31;133;3067;100;0;32
0.32;134;3065;100;0;33
0.33;139;3161;100;0;33
0.34;140;3160;100;0;34
0.35;145;3255;100;0;34
0.36;146;3254;100;0;35
0.37;151;3349;100;0;35
0.38;152;3348;100;0;36
0.39;157;3443;100;0;36
0.4;158;3441;100;0;37
0.41;163;3537;100;0;38
0.42;168;3632;100;0;38
0.43;169;3631;100;0;39
0.44;174;3726;100;0;39
0.45;175;3725;100;0;40
0.46;180;3820;100;0;40
0.47;181;3819;100;0;41
0.48;186;3913;100;0;41
0.49;188;3912;100;0;42
0.5;192;4008;100;1;43
0.51;197;4103;100;2;43
0.52;199;4101;100;3;44
0.53;204;4196;100;4;44
0.54;205;4195;100;6;45
0.55;210;4290;100;9;45
0.56;212;4288;100;12;46
0.57;216;4384;100;16;46
0.58;218;4382;100;20;47
0.59;223;4477;100;26;47
0.6;224;4476;100;32;48
0.61;229;4571;100;38;49
0.62;234;4666;100;46;49
0.63;236;4664;100;54;50
0.64;240;4760;100;63;50
0.65;242;4758;100;72;50
0.66;242;4758;100;80;50
0.67;243;4757;100;89;50
0.68;241;4759;100;97;50
0.69;225;4775;100;98;50
0.7;215;4785;100;98;50
0.71;216;4784;100;100;50
0.72;190;4810;100;92;50
0.73;244;4755;100;100;50
0.74;191;4809;100;92;50
0.75;246;4754;100;100;50
0.76;193;4807;100;92;50
0.77;249;4751;100;100;50
0.78;195;4805;100;92;50
0.79;251;4749;100;100;50
0.8;196;4803;100;92;50
0.81;253;4747;100;100;50
0.82;198;4802;96;100;50
0.83;128;1218;95;100;50
0.839999;121;975;96;100;50
0.849999;127;1218;92;100;50
0.859999;112;611;96;100;50
0.869999;126;1218;91;100;50
0.879999;109;543;95;100;50
0.889999;120;976;91;100;50
0.899999;109;543;93;100;50
0.909999;112;698;92;100;50
0.919999;109;611;92;100;50
0.929999;109;611;92;100;50
0.939999;109;611;92;100;50
0.949999;108;611;92;100;50
0.959999;108;611;91;100;50
0.969999;106;543;91;100;50
0.979999;105;543;92;100;50
0.989999;107;611;91;100;50
0.999999;105;543;91;100;50
1.01;104;544;91;100;50
1.02;104;544;91;100;50
1.03;103;544;91;100;50
1.04;103;544;91;100;50
1.05;103;544;91;100;50
1.06;102;544;91;100;50
1.07;102;544;91;100;50
1.08;101;544;91;100;50
